"hour_of_day","mon","tues","wed","thurs","fri","sat","sun"
"0","27.1","16.7","19.8","21.2","25.5","15.9","12.5"
"1","23.1","15.4","14.2","14.6","20.0","13.2","11.8"
"2","18.3","10.3","13.5","17.5","19.8","10.6","10.3"
"3","19.2","10.8","13.2","11.5","16.4","8.9","8.4"
"4","15.1","14.4","12.0","12.8","19.6","10.2","7.9"
"5","21.0","14.1","16.1","14.9","19.5","9.8","8.3"
"6","18.7","16.2","19.9","18.1","26.4","10.4","9.4"
"7","27.6","21.9","22.9","22.9","28.0","13.2","8.9"
"8","40.7","28.1","31.8","33.9","46.5","15.2","12.6"
"9","59.0","41.2","51.5","47.9","63.8","19.1","16.8"
"10","65.3","53.3","61.5","55.5","70.0","22.4","20.9"
"11","65.3","58.1","62.8","57.3","76.5","20.4","19.0"
"12","70.2","60.0","62.2","63.2","69.4","23.4","19.4"
"13","68.1","56.5","59.2","58.4","68.7","20.6","21.1"
"14","63.9","57.2","62.2","57.7","73.4","23.9","21.0"
"15","69.2","57.1","63.7","58.5","72.2","19.8","21.4"
"16","63.3","61.1","62.4","57.2","75.9","18.9","21.9"
"17","64.2","49.6","53.5","48.9","53.5","17.4","20.5"
"18","48.4","41.2","44.7","42.5","47.9","16.9","19.0"
"19","43.0","35.7","34.9","36.1","40.6","14.8","20.1"
"20","37.4","34.4","37.7","27.6","34.5","15.9","23.9"
"21","39.7","29.4","33.1","31.2","30.2","15.1","27.9"
"22","34.0","28.1","31.0","26.2","26.5","15.5","23.8"
"23","27.9","23.7","21.8","22.6","24.5","15.8","24.4"
